game_pk,date,away_team,away_score,home_score,home_team,win_team,lose_team,win_score,lose_score,final_score
717443,2023-07-08,Kansas City Royals,6,10,Cleveland Guardians,Cleveland Guardians,Kansas City Royals,10,6,10-6
717449,2023-07-08,Oakland Athletics,3,10,Boston Red Sox,Boston Red Sox,Oakland Athletics,10,3,10-3
717439,2023-07-08,Pittsburgh Pirates,2,3,Arizona Diamondbacks,Arizona Diamondbacks,Pittsburgh Pirates,3,2,3-2
717438,2023-07-08,Philadelphia Phillies,3,5,Miami Marlins,Miami Marlins,Philadelphia Phillies,5,3,5-3
717444,2023-07-08,Cincinnati Reds,8,5,Milwaukee Brewers,Cincinnati Reds,Milwaukee Brewers,8,5,8-5
717440,2023-07-08,Seattle Mariners,2,3,Houston Astros,Houston Astros,Seattle Mariners,3,2,3-2
717441,2023-07-08,Atlanta Braves,6,1,Tampa Bay Rays,Atlanta Braves,Tampa Bay Rays,6,1,6-1
717437,2023-07-08,Los Angeles Angels,5,10,Los Angeles Dodgers,Los Angeles Dodgers,Los Angeles Angels,10,5,10-5
717436,2023-07-08,New York Mets,1,3,San Diego Padres,San Diego Padres,New York Mets,3,1,3-1
717432,2023-07-09,Texas Rangers,2,7,Washington Nationals,Washington Nationals,Texas Rangers,7,2,7-2
717435,2023-07-09,Oakland Athletics,3,4,Boston Red Sox,Boston Red Sox,Oakland Athletics,4,3,4-3
717433,2023-07-09,Chicago Cubs,7,4,New York Yankees,Chicago Cubs,New York Yankees,7,4,7-4
717434,2023-07-09,Kansas City Royals,4,1,Cleveland Guardians,Kansas City Royals,Cleveland Guardians,4,1,4-1
717431,2023-07-09,Toronto Blue Jays,4,3,Detroit Tigers,Toronto Blue Jays,Detroit Tigers,4,3,4-3
717429,2023-07-09,Atlanta Braves,4,10,Tampa Bay Rays,Tampa Bay Rays,Atlanta Braves,10,4,10-4
717426,2023-07-09,Philadelphia Phillies,3,7,Miami Marlins,Miami Marlins,Philadelphia Phillies,7,3,7-3
717430,2023-07-09,Seattle Mariners,3,1,Houston Astros,Seattle Mariners,Houston Astros,3,1,3-1
717428,2023-07-09,Baltimore Orioles,15,2,Minnesota Twins,Baltimore Orioles,Minnesota Twins,15,2,15-2
717424,2023-07-09,St. Louis Cardinals,4,3,Chicago White Sox,St. Louis Cardinals,Chicago White Sox,4,3,4-3
717427,2023-07-09,Cincinnati Reds,0,1,Milwaukee Brewers,Milwaukee Brewers,Cincinnati Reds,1,0,1-0
717422,2023-07-09,Colorado Rockies,0,1,San Francisco Giants,San Francisco Giants,Colorado Rockies,1,0,1-0
717425,2023-07-09,Pittsburgh Pirates,4,2,Arizona Diamondbacks,Pittsburgh Pirates,Arizona Diamondbacks,4,2,4-2
717423,2023-07-09,New York Mets,2,6,San Diego Padres,San Diego Padres,New York Mets,6,2,6-2
717418,2023-07-14,San Diego Padres,8,3,Philadelphia Phillies,San Diego Padres,Philadelphia Phillies,8,3,8-3
717416,2023-07-14,San Francisco Giants,6,4,Pittsburgh Pirates,San Francisco Giants,Pittsburgh Pirates,6,4,6-4
717407,2023-07-14,Washington Nationals,7,5,St. Louis Cardinals,Washington Nationals,St. Louis Cardinals,7,5,7-5
717417,2023-07-14,Miami Marlins,2,5,Baltimore Orioles,Baltimore Orioles,Miami Marlins,5,2,5-2
717420,2023-07-14,Arizona Diamondbacks,2,7,Toronto Blue Jays,Toronto Blue Jays,Arizona Diamondbacks,7,2,7-2
