game_pk,date,away_team,away_score,home_score,home_team,win_team,lose_team,win_score,lose_score,final_score
718558,2023-07-24,San Francisco Giants,1,5,Detroit Tigers,Detroit Tigers,San Francisco Giants,5,1,5-1
717280,2023-07-24,Baltimore Orioles,3,2,Philadelphia Phillies,Baltimore Orioles,Philadelphia Phillies,3,2,3-2
717282,2023-07-24,Colorado Rockies,10,6,Washington Nationals,Colorado Rockies,Washington Nationals,10,6,10-6
717277,2023-07-24,Kansas City Royals,5,3,Cleveland Guardians,Kansas City Royals,Cleveland Guardians,5,3,5-3
717275,2023-07-24,Seattle Mariners,3,4,Minnesota Twins,Minnesota Twins,Seattle Mariners,4,3,4-3
717274,2023-07-24,Texas Rangers,9,10,Houston Astros,Houston Astros,Texas Rangers,10,9,10-9
717273,2023-07-24,Cincinnati Reds,2,3,Milwaukee Brewers,Milwaukee Brewers,Cincinnati Reds,3,2,3-2
717276,2023-07-24,Pittsburgh Pirates,8,4,San Diego Padres,Pittsburgh Pirates,San Diego Padres,8,4,8-4
717268,2023-07-24,St. Louis Cardinals,10,6,Arizona Diamondbacks,St. Louis Cardinals,Arizona Diamondbacks,10,6,10-6
717271,2023-07-24,Toronto Blue Jays,6,3,Los Angeles Dodgers,Toronto Blue Jays,Los Angeles Dodgers,6,3,6-3
717265,2023-07-25,Los Angeles Angels,7,6,Detroit Tigers,Los Angeles Angels,Detroit Tigers,7,6,7-6
717267,2023-07-25,Baltimore Orioles,3,4,Philadelphia Phillies,Philadelphia Phillies,Baltimore Orioles,4,3,4-3
717270,2023-07-25,Miami Marlins,1,4,Tampa Bay Rays,Tampa Bay Rays,Miami Marlins,4,1,4-1
717269,2023-07-25,Colorado Rockies,5,6,Washington Nationals,Washington Nationals,Colorado Rockies,6,5,6-5
717266,2023-07-25,New York Mets,9,3,New York Yankees,New York Mets,New York Yankees,9,3,9-3
717260,2023-07-25,Kansas City Royals,1,5,Cleveland Guardians,Cleveland Guardians,Kansas City Royals,5,1,5-1
717261,2023-07-25,Atlanta Braves,1,7,Boston Red Sox,Boston Red Sox,Atlanta Braves,7,1,7-1
717264,2023-07-25,Seattle Mariners,9,7,Minnesota Twins,Seattle Mariners,Minnesota Twins,9,7,9-7
717255,2023-07-25,Texas Rangers,3,4,Houston Astros,Houston Astros,Texas Rangers,4,3,4-3
717263,2023-07-25,Chicago Cubs,7,3,Chicago White Sox,Chicago Cubs,Chicago White Sox,7,3,7-3
717262,2023-07-25,Cincinnati Reds,4,3,Milwaukee Brewers,Cincinnati Reds,Milwaukee Brewers,4,3,4-3
717258,2023-07-25,Pittsburgh Pirates,1,5,San Diego Padres,San Diego Padres,Pittsburgh Pirates,5,1,5-1
717259,2023-07-25,St. Louis Cardinals,1,3,Arizona Diamondbacks,Arizona Diamondbacks,St. Louis Cardinals,3,1,3-1
717272,2023-07-25,Oakland Athletics,1,2,San Francisco Giants,San Francisco Giants,Oakland Athletics,2,1,2-1
717256,2023-07-25,Toronto Blue Jays,7,8,Los Angeles Dodgers,Los Angeles Dodgers,Toronto Blue Jays,8,7,8-7
717257,2023-07-26,Colorado Rockies,4,5,Washington Nationals,Washington Nationals,Colorado Rockies,5,4,5-4
717252,2023-07-26,Miami Marlins,7,1,Tampa Bay Rays,Miami Marlins,Tampa Bay Rays,7,1,7-1
717249,2023-07-26,Kansas City Royals,3,8,Cleveland Guardians,Cleveland Guardians,Kansas City Royals,8,3,8-3
717250,2023-07-26,Seattle Mariners,8,7,Minnesota Twins,Seattle Mariners,Minnesota Twins,8,7,8-7
717254,2023-07-26,Cincinnati Reds,0,3,Milwaukee Brewers,Milwaukee Brewers,Cincinnati Reds,3,0,3-0
717244,2023-07-26,St. Louis Cardinals,11,7,Arizona Diamondbacks,St. Louis Cardinals,Arizona Diamondbacks,11,7,11-7
717246,2023-07-26,Pittsburgh Pirates,3,2,San Diego Padres,Pittsburgh Pirates,San Diego Padres,3,2,3-2
717253,2023-07-26,Toronto Blue Jays,8,1,Los Angeles Dodgers,Toronto Blue Jays,Los Angeles Dodgers,8,1,8-1
717245,2023-07-26,Baltimore Orioles,4,6,Philadelphia Phillies,Philadelphia Phillies,Baltimore Orioles,6,4,6-4
717248,2023-07-26,New York Mets,1,3,New York Yankees,New York Yankees,New York Mets,3,1,3-1
717242,2023-07-26,Atlanta Braves,3,5,Boston Red Sox,Boston Red Sox,Atlanta Braves,5,3,5-3
717239,2023-07-26,Texas Rangers,13,5,Houston Astros,Texas Rangers,Houston Astros,13,5,13-5
717240,2023-07-26,Chicago Cubs,10,7,Chicago White Sox,Chicago Cubs,Chicago White Sox,10,7,10-7
717251,2023-07-26,Oakland Athletics,3,8,San Francisco Giants,San Francisco Giants,Oakland Athletics,8,3,8-3
717243,2023-07-27,Los Angeles Angels,6,0,Detroit Tigers,Los Angeles Angels,Detroit Tigers,6,0,6-0
717247,2023-07-27,Los Angeles Angels,11,4,Detroit Tigers,Los Angeles Angels,Detroit Tigers,11,4,11-4
717241,2023-07-27,Washington Nationals,1,2,New York Mets,New York Mets,Washington Nationals,2,1,2-1
717238,2023-07-27,Chicago Cubs,10,3,St. Louis Cardinals,Chicago Cubs,St. Louis Cardinals,10,3,10-3
717233,2023-07-27,Cleveland Guardians,6,3,Chicago White Sox,Cleveland Guardians,Chicago White Sox,6,3,6-3
717236,2023-07-28,Detroit Tigers,5,6,Miami Marlins,Miami Marlins,Detroit Tigers,6,5,6-5
717234,2023-07-28,Philadelphia Phillies,2,1,Pittsburgh Pirates,Philadelphia Phillies,Pittsburgh Pirates,2,1,2-1
717237,2023-07-28,New York Yankees,0,1,Baltimore Orioles,Baltimore Orioles,New York Yankees,1,0,1-0
717235,2023-07-28,Los Angeles Angels,1,4,Toronto Blue Jays,Toronto Blue Jays,Los Angeles Angels,4,1,4-1
717230,2023-07-28,Washington Nationals,1,5,New York Mets,New York Mets,Washington Nationals,5,1,5-1
717228,2023-07-28,Cleveland Guardians,0,3,Chicago White Sox,Chicago White Sox,Cleveland Guardians,3,0,3-0
717231,2023-07-28,Milwaukee Brewers,7,10,Atlanta Braves,Atlanta Braves,Milwaukee Brewers,10,7,10-7
717229,2023-07-28,Tampa Bay Rays,4,3,Houston Astros,Tampa Bay Rays,Houston Astros,4,3,4-3
717232,2023-07-28,Minnesota Twins,5,8,Kansas City Royals,Kansas City Royals,Minnesota Twins,8,5,8-5
717226,2023-07-28,Chicago Cubs,3,2,St. Louis Cardinals,Chicago Cubs,St. Louis Cardinals,3,2,3-2
717227,2023-07-28,Oakland Athletics,8,5,Colorado Rockies,Oakland Athletics,Colorado Rockies,8,5,8-5
717223,2023-07-28,Seattle Mariners,5,2,Arizona Diamondbacks,Seattle Mariners,Arizona Diamondbacks,5,2,5-2
717224,2023-07-28,Texas Rangers,1,7,San Diego Padres,San Diego Padres,Texas Rangers,7,1,7-1
717225,2023-07-28,Cincinnati Reds,6,5,Los Angeles Dodgers,Cincinnati Reds,Los Angeles Dodgers,6,5,6-5
717220,2023-07-28,Boston Red Sox,3,2,San Francisco Giants,Boston Red Sox,San Francisco Giants,3,2,3-2
717222,2023-07-29,Los Angeles Angels,1,6,Toronto Blue Jays,Toronto Blue Jays,Los Angeles Angels,6,1,6-1
717218,2023-07-29,Detroit Tigers,5,0,Miami Marlins,Detroit Tigers,Miami Marlins,5,0,5-0
717216,2023-07-29,Philadelphia Phillies,6,7,Pittsburgh Pirates,Pittsburgh Pirates,Philadelphia Phillies,7,6,7-6
717215,2023-07-29,Washington Nationals,11,6,New York Mets,Washington Nationals,New York Mets,11,6,11-6
717207,2023-07-29,Minnesota Twins,7,10,Kansas City Royals,Kansas City Royals,Minnesota Twins,10,7,10-7
717217,2023-07-29,Cleveland Guardians,2,7,Chicago White Sox,Chicago White Sox,Cleveland Guardians,7,2,7-2
717221,2023-07-29,Boston Red Sox,2,3,San Francisco Giants,San Francisco Giants,Boston Red Sox,3,2,3-2
717213,2023-07-29,Chicago Cubs,5,1,St. Louis Cardinals,Chicago Cubs,St. Louis Cardinals,5,1,5-1
717214,2023-07-29,Tampa Bay Rays,4,17,Houston Astros,Houston Astros,Tampa Bay Rays,17,4,17-4
717219,2023-07-29,New York Yankees,8,3,Baltimore Orioles,New York Yankees,Baltimore Orioles,8,3,8-3
717211,2023-07-29,Milwaukee Brewers,5,11,Atlanta Braves,Atlanta Braves,Milwaukee Brewers,11,5,11-5
717212,2023-07-29,Oakland Athletics,11,3,Colorado Rockies,Oakland Athletics,Colorado Rockies,11,3,11-3
717210,2023-07-29,Seattle Mariners,3,4,Arizona Diamondbacks,Arizona Diamondbacks,Seattle Mariners,4,3,4-3
717209,2023-07-29,Texas Rangers,0,4,San Diego Padres,San Diego Padres,Texas Rangers,4,0,4-0
717205,2023-07-29,Cincinnati Reds,2,3,Los Angeles Dodgers,Los Angeles Dodgers,Cincinnati Reds,3,2,3-2
717201,2023-07-30,Los Angeles Angels,3,2,Toronto Blue Jays,Los Angeles Angels,Toronto Blue Jays,3,2,3-2
717208,2023-07-30,Philadelphia Phillies,4,6,Pittsburgh Pirates,Pittsburgh Pirates,Philadelphia Phillies,6,4,6-4
717206,2023-07-30,Milwaukee Brewers,6,8,Atlanta Braves,Atlanta Braves,Milwaukee Brewers,8,6,8-6
717203,2023-07-30,Washington Nationals,2,5,New York Mets,New York Mets,Washington Nationals,5,2,5-2
717202,2023-07-30,Detroit Tigers,6,8,Miami Marlins,Miami Marlins,Detroit Tigers,8,6,8-6
717196,2023-07-30,Tampa Bay Rays,8,2,Houston Astros,Tampa Bay Rays,Houston Astros,8,2,8-2
717198,2023-07-30,Minnesota Twins,1,2,Kansas City Royals,Kansas City Royals,Minnesota Twins,2,1,2-1
717204,2023-07-30,Cleveland Guardians,5,0,Chicago White Sox,Cleveland Guardians,Chicago White Sox,5,0,5-0
717195,2023-07-30,Chicago Cubs,0,3,St. Louis Cardinals,St. Louis Cardinals,Chicago Cubs,3,0,3-0
717199,2023-07-30,Oakland Athletics,0,2,Colorado Rockies,Colorado Rockies,Oakland Athletics,2,0,2-0
717197,2023-07-30,Boston Red Sox,3,4,San Francisco Giants,San Francisco Giants,Boston Red Sox,4,3,4-3
717194,2023-07-30,Cincinnati Reds,9,0,Los Angeles Dodgers,Cincinnati Reds,Los Angeles Dodgers,9,0,9-0
717193,2023-07-30,Seattle Mariners,4,0,Arizona Diamondbacks,Seattle Mariners,Arizona Diamondbacks,4,0,4-0
717191,2023-07-30,Texas Rangers,3,5,San Diego Padres,San Diego Padres,Texas Rangers,5,3,5-3
717200,2023-07-30,New York Yankees,3,9,Baltimore Orioles,Baltimore Orioles,New York Yankees,9,3,9-3
717189,2023-07-31,Philadelphia Phillies,4,2,Miami Marlins,Philadelphia Phillies,Miami Marlins,4,2,4-2
717185,2023-07-31,Tampa Bay Rays,5,1,New York Yankees,Tampa Bay Rays,New York Yankees,5,1,5-1
717192,2023-07-31,Milwaukee Brewers,3,5,Washington Nationals,Washington Nationals,Milwaukee Brewers,5,3,5-3
717186,2023-07-31,Baltimore Orioles,4,2,Toronto Blue Jays,Baltimore Orioles,Toronto Blue Jays,4,2,4-2
717187,2023-07-31,Los Angeles Angels,4,1,Atlanta Braves,Los Angeles Angels,Atlanta Braves,4,1,4-1
717188,2023-07-31,Cincinnati Reds,6,5,Chicago Cubs,Cincinnati Reds,Chicago Cubs,6,5,6-5
717184,2023-07-31,Cleveland Guardians,3,7,Houston Astros,Houston Astros,Cleveland Guardians,7,3,7-3
717179,2023-07-31,San Diego Padres,3,4,Colorado Rockies,Colorado Rockies,San Diego Padres,4,3,4-3
717181,2023-07-31,Boston Red Sox,2,6,Seattle Mariners,Seattle Mariners,Boston Red Sox,6,2,6-2
717190,2023-07-31,Arizona Diamondbacks,4,3,San Francisco Giants,Arizona Diamondbacks,San Francisco Giants,4,3,4-3
